comment,star,people,useful_num,no_help_num,comment_page_url,title,people_url
"
        空难，地震，海啸，台风，火山爆发，外星袭击，2012等等的在灾难片在随着电影特效的进步，随时随机的在电影院轰炸观众，观众也因此生成了很多免疫机制，审美疲劳。这部电影同样是一部灾难脸。从一张海报就能说清楚全部故事内容，预告片都不用看。《深海浩劫》是一部改编自真实事件的电影，和前段时间《萨利机长》有同样的基因。《萨利机长》同样是根据真实的灾难事件改编。有兴趣的话可以绕道去看看——影片观感——真实事件：2010年美国在墨西哥湾的深水地平线钻油平台发生爆炸和漏油事故。造成11人丧生。本片由变形金刚团队打造，特效肯定过硬。但是出乎意料的是，这部电影并没有完全被沦为借着灾难的外衣去展示劈劈啪啪爆炸的特效。而让人觉得这部电影新鲜的地方在于亮点：导演的叙述结构+大家对钻油平台知识体系的未知。这两点是相互补充的，对于深海勘探油井的超大装置和设备，一般人都不会过问，所以很少人去明白他们的工作原理。导演在影片中用了很多的借喻和补充手法，去告诉大家这次勘探的油井，差不多等于就是在敲开地狱之门。在出事之前铺垫，完全没有让人觉得无聊和厌倦，反而导演是在让观众学习和融入，让观众和钻进平台的126人一起感受暴风雨前的平静。随着剧情一段段的展开，观众看得是越来越紧张，最后终于在视钱如命的负责人命令下，他们打开了这扇地狱之门，深海黑油如恶魔般被放出，但之后却一发不可收拾。造成了震惊世界的油田大爆炸。影片还极力控诉一些不顾生命安全的大boss们，睁一只眼闭一只眼想逃过很多的安全检测，直接挖油，身为安全部长的男主角，用一句简单的话阐述了当时勘探油井平台的现状：像一辆在空中飞行的飞机，但飞机装着不够安全着陆的汽油。影片的节奏一环扣一环，毫不拖沓，剪辑配合着音效和配乐恰到好处，好几次欺骗性的动作都让人觉得要爆炸了。等到真正爆炸来临的时刻，观众的情绪就像被摇晃了很久的可乐打开，一飞冲天。爽不由自己。影片尾段也处理得相当感人，导演把格局拉大，幸存者最后统统被安置在酒店和亲人团聚，而死去亲属的亲人也同时在酒店，发疯似的找着自己死去的亲人，这种对比更让人知道生命的可贵，珍惜眼前人。结尾播放了很多当时灾难的真实的画面，最后放出了在事件中丧生的11人照片。让人唏嘘不已，愿世界太平，悲剧不要重演。——钻油勘探平台细思恐极的工作流程和事故解析——影片中所描述的，和现实中的过程差不多一样，进度严重拖后的英国石油公司，雇佣了钻油平台团队，英国石油公司想要把拖后的钱赚回来，用什么办法，就是快点挖到油拿去卖。于是故意忽略很多测试出来的安全隐患。从而造成了人为的漏油爆炸事件。深海地平线应该算是第7中，半潜式钻油勘探平台。深海地平线勘探钻油平台分为两层甲板出事时候在第一层，油往上喷，造成第一次爆炸，之后通过安全措施抑制住了30秒…对只有30秒。第二次爆炸直接把整个钻油平台给炸了。其中他们也用了各种措施，但是由于油势太猛全部失败。而第三次爆炸是因为泄漏的石油挥发成气体，和发动机发生摩擦炸成了爆炸，这一次就可要命了，火光冲天。整个钻油平台算是完了。——事后影响——（摘自维基百科）墨西哥湾漏油事故发生后，漏油事故附近大范围的水质受到污染，不少鱼类，鸟类，海洋生物以至植物都受到严重的影响，如患病及死亡等。路易斯安那州、密西西比州和阿拉巴马州的渔业进入灾难状态，过半数受访者，不满意总统奥巴马处理今次事故的表现。有官员指，至今墨西哥湾沿岸有超过300只海鸟因为油污死亡[4]。美国总统奥巴马表示墨西哥湾漏油的影响如同911恐怖袭击。[5]美国政府的在11月份的调查报告指出有6,104只鸟类，609只海龟，100只海豚在内的哺乳动物死亡，这个数字可能包括了死于自然原因的动物，所有因深海漏油而死亡的数据断定尚待时日[6]。——真实事件后续——（摘自维基百科）英国石油公司打造了一个4层楼高的巨型“金钟罩”希望能降到1500米的海底，把漏油的地方罩住，让原油保留在金钟罩里，然后再抽回海面上接应的油轮，但深海水温太低，金钟罩内部累积了大量的冰晶，中途就无法正常运作，这项计划宣告失败。英国石油公司被美国政府要求成立一个200亿美金的基金来处理这个事故。同年7月，利比里亚籍的台湾除油船鲸鱼号（A Whale）抵达墨西哥湾，在测试成功后投入海水油污清除作业[7]，但因除油效果不佳，退出除油作业[8]。漏油后数月内，海水中高浓度甲烷被快速繁殖的深海嗜甲烷菌所吞灭，甲烷迅速地回归正常值[9]。2012年11月，英国石油公司与美国达成和解，接受12.56亿美元刑事罚款，另外提供23.94亿美元支付给野生动物基金会用于环境补救行动，3.5亿美元提供美国国家科学院。此外在未来三年向美国证交会支付5.25亿美元[10] 。2015年10月6日，美国司法部宣布英国石油将以208亿美元代价与美国政府和解，彻底解决此次漏油事故所有求偿。该款项包括所有几百个地方政府的求偿，美国清水法案罚款，天然资源损害赔偿在内所有政府相关求偿内容。而208亿美元的和解代价刷新了美国司法当局有史以来最大的单一个案和解金额。[11]。
      ",推荐,大聪简片室,有用 243,没用 13,https://movie.douban.com/review/8120778/,年度小黑马，灾难片泛滥的今天能拍得这么带感实属难得。,https://www.douban.com/people/1402913/
"
        1. 影片制片人联系了马克·沃尔伯格并告诉他，他们希望在影片里看到老一代和新一代影星的屏幕组合。随后沃尔伯格联系了他认识的老一代演员像Jack Nicholson。出乎意料的是，剧组希望马克·沃尔伯格充当影片里那个老一代的影星，而其他人则喜欢Dylan O Brien充当那个年轻的影星。2. 为了拍摄影片中的油井Deepwater Horizon, 剧组在路易斯安那州的查尔梅特，也就是影片的主要拍摄地，搭建了一个真实的油井。剧组打造的油井被认为是最大的舞台立体布景道具。3. Kate Hudson也就是影片中的Felicia。在Instagram上发布了一张和她继父Kurt Russell的照片，即影片中的Jimmy。她说这是她第一部和她继父有合作的电影。4. 影片中饰演海岸警卫队中尉的角色(Graham McGinnis)在现实生活中同样是一名海岸警卫队新奥尔良航空站的直升机救援泳者。5. 影片在多伦多电影节首映式上让观众们一一起立鼓掌。6. 这是第二部马克·沃尔伯格与导演Peter Berg合作的电影。第一部合作的电影是Lone Survivor(2013)，也是一部根据真实故事改编的电影。7. 影片最后的拍摄日期为2015年8月7日。8. 这是首部马克沃尔伯格与迪伦奥布莱恩(Maze Runner移动迷宫男主)合作的电影。9. 许多在墨西哥湾油井工作的员工拒绝把深海地平线油井泄露事件改编成电影，因为他们觉得这是对遇难者的不尊重。但是Mike Williams-深海地平线油井泄露事件的幸存者，一度支持把这个事件改编成电影，因为他觉得很有必要让别人知道他和他的员工在油井泄露事件中到底经历了什么。而且电影剧组的目标也是想让影片看起来尽可能的贴近实际情况。10. 影片刚开头可以听到一段来自现实生活中的录音，取材自灾难发生几天后的审讯。11. 电影里女主打电话打听深海地平线油井的情况时，电话那头说有看到火光冲天，并且有人从油井上往下跳。实际上确实是这样，深海地平线油井泄露事件中，由于事出突然，大部分人来不及疏散，部分工人被迫从75-100米高的油井上跳海逃生。12. 影片改编自美国史上最严重的油井泄露事故，深海地平线。爆炸事故发生三周内，每天大约有21万加仑的原油流入墨西哥湾。
      ",推荐,LZS,有用 107,没用 7,https://movie.douban.com/review/8122424/,你不知道的《深海浩劫》,https://www.douban.com/people/114156558/
,力荐,Ditch,有用 104,没用 5,https://movie.douban.com/review/8199500/,关于电影的一些情节解释,https://www.douban.com/people/141435602/
"
        首先说明，我是一名近海石油工程师，以下内容是我看完电影后发在朋友圈里的内容，因字数过多，只能写成影评形式，内容不多，欢迎指正。《深海浩劫》这部电影本身就不是普通的灾难片，没有一定的背景估计也不会看懂。所以当我看到有观众在评论里给了一星并且说“除了爆炸特效这个亮点外其余都是走马观花似的不停切换场景，之间没有关联，剧情牵强”时，我丝毫不感觉意外。确实，当刀没有划到自己身体上时，你是体会不到那种切肤之痛的。除去争议本身，我不得不说导演组是下了很大功夫的，虽然有些纰漏，但丝毫不影响很多处对细节的刻画，这种刻画很真实，甚至真实的让人感到恐惧。不过话说回来，如果电影中大部分前期背景介绍中没有夸大的话，BP和Transocean的管理还是存在很多问题的。记得刚入职的时候，安环部的王经理给我们讲过，危险就像老虎，想要避开危险最好的方法就是把它关进笼子里。而平台上各式各样的仪表，烟探火探可燃气探头联动作用，再加上各级关断，很大程度上就能把危险控制住。具体的我就不说太多了，总之请大家放心，国内的平台上管理远比老外的严格，大家工作也不会太懒散，PM及时做的话会减少很多设备的损坏，出现损坏时也会及时维修，再不济会换新，不会像电影里那样到处都是故障，连最基本的二级关断的设备都是坏的。
      ",力荐,轻飏,有用 89,没用 28,https://movie.douban.com/review/8178119/,深海浩劫注定会成为一个教科书式的电影,https://www.douban.com/people/79259545/
"
        本文首发巴塞电影APP，是上周看完媒体场之后写的。电影《深海浩劫》昨天在北京举办了媒体首映场，虽然早就可以猜到电影的主要情节和结局，但还是在观影过程中被震撼到，全程都在屏息凝神，紧盯着银幕上升的烈焰。作为一个灾难片而言，这无疑是成功的。电影取材于真实事件，即六年前震惊世界的墨西哥湾漏油事件。2010年4月20日，墨西哥湾，在名为“深水地平线”的半潜式石油钻井平台上，126名工作人员照常作业。他们开采的马孔多油井尚未完工，工期拖后，预算超支。租赁此钻台的英国石油公司和负责油井施工的主管意见不和。前者无视安全隐患报告，希望工人尽快赶工。当晚9时45分左右，发生了井喷、爆炸和大火，11人遇难。钻井平台燃烧36小时后沉没，大量石油泄漏，成为美国历史上最严重的漏油事件，也造成了区域的生态大灾难。当时的美国总统奥巴马表示这一灾难所带来的影响不亚于911。事件发生后，全世界为之震惊，而大多数媒体所聚焦的重点在于大量原油泄漏对该区域造成的生态破坏，却只有少数媒体关注到了在本次事故中遇难的11名普通工人。导演彼得·伯格正是出于这样的考虑，才拍摄了这部完全纪实的电影。导演彼得·伯格在执导过程中，格外强调这部电影要忠于事实。为此，他逐一拜访了11位死难者的家属。在倾谈间，他感受到他们失去挚爱悲痛的同时，亦感受到他们要面对的生活苦况。导演在接受采访时说：这很鼓励我，因为与死难者家属见面时，我可以诚实、清楚地告诉他们，我想做的只是如实地把当晚的经过搬上大银幕，让观众了解这些被忽视了的情节。同样为了力求真实，导演拒绝使用电脑特效技术来布景，反而在一个水库中搭建了1：1的实景——一座大型的石油钻井平台，甚至从真的钻井平台上拆下屏幕、按扭，安装在布景中的控制室内，务求一切做得逼真。这大概也是该片预算高达1亿美元的主要用处。导演认为：重建钻井平台不单是让演员和幕后人员能够投入其中，更是想让每个观众都感受到钻井平台艰辛的工作和生活环境。不过，彼得·伯格也澄清自己并非排斥使用电脑特效。电影中大量井喷、爆炸、大火的场面 依旧是用特效完成的。忠于事实必然会在故事情节上做出牺牲。虽然导演本人认为这一夜间12小时内发生的巨大灾难已经有着足够的戏剧性，但是电影的前半段依旧让人觉得有些无聊，主要人物都像是流水线般地走个过场。身为主角的马克·沃尔伯格在电影中饰演了一个工程师，却在前半段的剧情中总是处于尴尬的配角位置，只能在后面的救人情节中，才展示了自己的主角光环。比如在钻井平台和石油公司双方起争执的关键剧情中，他的发言只是起到了抖包袱的作用，反而两位老演员库尔特·拉塞尔和约翰·马尔科维奇针锋相对，演技逼人。除此之外，平铺直敍的剧情编排，一切尽在意料之内。正如前文所言，这是一部还没看就知道主要情节的电影；而电影中的高潮部分完全依赖特技和画面，反而不是剧情上。所以说作为一部灾难片，它是成功的；但作为一部试图记录或反思在这一灾难的电影，它依旧有些力不从心。非常明显的是，电影并没有过多着墨于事故发生之后的追责过程、拯救生态的问题，甚至就遇难者的角度而言，也是展示得比较少的。电影的最后，幸存下来的主角受到遇难者家属的责问，并匆匆离开，然后字幕出现，11位遇难者的姓名和照片一一展示在大银幕上。当然，这一切都与导演最初的想法是一致的，只是单纯地展示了这一灾难的全过程以及在这个过程中，每个无名英雄所做出的牺牲。因而，电影一方面没有一般好莱坞大片那样的娱乐性，另一方面也没有在主体思想和意识形态上过分的拔高。最后可能有部分观众会对电影中的深海石油钻井平台工作过程稍有疑惑，电影通过主角的女儿非常形象生动地解释了这一点：海底的石油是亿万年前的恐龙被不断挤压形成的，它们就像是一个怪兽，始终在寻找出口。而石油钻井平台正是给了它们这个出口，并通过各种设备控制住这头怪兽，不让它肆无忌惮地喷涌。当钻井平台完成施工之后，石油公司才会前来采油和运输。简单来说就像是一罐摇晃过的可乐，在上端插入一个管道，并通过灌入蜂蜜使其暂时密封。电影的关键就在于这一设备因为质量不合格失效了，而真正喷涌而出的就不是可乐了，而是泥浆、碎石、原油、甲烷以及那头被挤压了上亿年的大怪兽。
      ",还行,余小岛,有用 9,没用 0,https://movie.douban.com/review/8175232/,深海浩劫：一部纪实风格的灾难电影,https://www.douban.com/people/missixyujun/
"
        为什么打五星？因为我有切身的感受。自我介绍下，我也是一名石油工人，来自海上。影片开始介绍了几个主角的家庭，看似生硬，其实是在告诉我们，他们就是普通人，生活在我们的身边，家长里短，再正常不过。永远修不好的柜子，永远修不好的车子，这样的例子太多。每次分离就是都充满了不舍，尤其是有了家庭，有了孩子。对于外行来说，怎么形容自己的工作？我想大部分人都不知道石油是以什么样的形式储存于地下，所以更别说介绍这个专业性很强的行业，太难。主人公就很聪明，易拉罐，轻而易举，简单易行。坐着飞机去上班，看着高大上，其实就只是一个交通工具而已，和公交车没什么差别。撞上鸟，或许是一个不详的开始，或者说这样的事情并不罕见。到了平台，和同事交接班，顺带拉拉家常，吹吹牛逼，讲讲在家里的趣事，生活才显得丰富多彩。印象比较深的是一个钻工说自己毕业于哪哪哪个大学，获得全额奖学金，国内差不多都是这样，全是大学生。事故原因，事故经过都讲的还算详细，画面处理的比较震撼，不做过多评价。对我而言，这是个对外介绍的窗口，打分什么的肯定会多多少少有点片面。最后有些人在质疑，只不过是死了几个人而已，算不上灾难片，真正重要的是后来的污染。我感觉，说出这样话的应该都是坐在办公室的官老爷。能侥幸逃出一命已经得感谢苍天了，不知道这些所谓的官老爷哪一天在遇到危险时能不能逃出生天。这部电影是我拉着父母一起看的，我本来是想告诉他们我的工作环境并不是他们想象的多么轻松，而老爸轻描淡写的一句话，只不过是一个安全事故罢了，哎，我很寒心，他们并没有意识到带他们来看这部电影的用意。发生这样的事故，美国尚且如此，我是不敢想我国会是什么样子。希望再也不会像渤2那样。写的比较乱，想看就看吧，不看也无所谓。
      ",力荐,捕鱼。,有用 18,没用 2,https://movie.douban.com/review/8184432/,聊聊我所知道的,https://www.douban.com/people/139412425/
"
        主旋律有主旋律的拍法，美国主旋律有美国主旋律的拍法。但归根结底，美国主旋律也是主旋律。 《深海浩劫》是今年下半年短短几个月里的两部彼得·伯格执导电影之一，也是2013年以来又一部彼得·博格/马克·沃尔伯格主旋律——《孤独的幸存者》《深海浩劫》、即将开画的《爱国者之日》以及未来的诸多筹备ing，这个最佳拍档的组合形式很可能会在未来一段时间里继续保持下去。 如果描绘波士顿马拉松爆炸案的《爱国者之日》能有《深海浩劫》一样靠谱，我们很可能会在年末颁奖季见到几个Berg上台拿奖。这么高质高量的组合表现，至于是两个Berg中的哪一个能拿奖，倒不是那么要紧了。 聚焦美国历史上最大的漏油事件，彼得·博格在《深海浩劫》中终于找回了灾难片大导的昔日风采，在提供震撼的视觉冲击的同时，构建出一个又一个坚实的角色，并在这些角色之间以情感为基底建立有力的联系。约翰·马尔科维奇，马克·沃尔伯格，库尔特·拉塞尔，吉娜·罗德里格斯和凯特·哈德森的表演诚然参差不齐，但是在紧凑的剪辑下，演技上的不足并没有显得格格不入。 综上所述，我们依然能在《深海浩劫》中得到很好的视觉刺激和感染力充沛的各色人物。在这部电影中，彼得·伯格始终将视觉体验作为最终目标，虽然前半部分的铺垫有些乏味和套路，后半部分的大场面又稍嫌密集。但和彼得·伯格的上一部电影《孤独的幸存者》类似，这种伪纪录式电影和《萨利机长》这种传统的人物传记在叙事方法上有着显著差别，以着力刻画人物群像的目的，去着力构成那些牵扯进事故的各个家庭——家庭观念是整个美国文化中的重要组成部分，对于中小成本电影来说，得家庭者得天下，是一句非常值得斟酌的创作指南。 然而在这一指引下，《深海浩劫》的创作实际上出现了严重的避重就轻，将整个集团规模的逐利和轻视风险转为了个人滥用职权，并且以个人英雄主义的角度消弭了其批判态度，仅停止在美国精神的再一次展现上。 毕竟墨西哥湾漏油事件不是天灾，而是彻彻底底的人祸。如果连人祸都是打折的话，整部电影的立足点就很值得商榷了。 无论如何，《深海浩劫》是一部检验观众对美国主流价值观认同度的主旋律电影。 马克·沃尔伯格是一个，很接地气，的演员——这个地气自然是美国地气。《深海浩劫》中的马克·沃尔伯格无疑是一个典型的美式个人英雄，兼具智慧、力量和冷静，是天生的领导者。片中与其搭档的库尔特·拉塞尔和约翰·马尔科维奇表现也在意料之中，除了凯特·哈德森显得有些鸡肋——毕竟美国甜妞不可能仅靠甜去甜一辈子。但简言之，主要演员们基本上很好地捕捉和还原了美国南方民众的那种精气神——即使在大部分时间里，他们都在充当人肉背景或者躲避钻井台的惊天大火。 说到火焰，《深海浩劫》的CGI视觉效果着实出众。精心制作的场景涉及到整个钻井平台日常运转的各个方面，从开采石油到泥浆流动再到板块破裂——听起来很无聊，但却提供了足够的代入感，足以引起观众在情感上的共鸣。而大量的爆炸场面令人冷汗直冒，细节更是鲜血淋淋。 但《深海浩劫》最大的问题在于其过于套路的情节设计。既然是真实事件，故事的结局必然是缺少悬念的，只能在情节上下猛料。然而，过于戏剧化的剧情令人感到疲倦，不停呼唤美利坚人民心中的爱国主义精神并不值得鼓励。情节在某些时刻显得太假——用国旗灭火实在是令人无比惆怅。从某个角度来看，这种在创作上的保守是在变相地掩盖事实真相，利用交响乐和特写镜头交织的老掉牙的英雄时刻来传递好莱坞的流水线情感表达，将整个事件的重心从监查和处置失当转移成了人与自然的勇敢斗争，而将漏油事故对整个墨西哥湾生态造成的巨大影响一笔带过。 作为一部商业化的主旋律电影来说，这种处置方法没有什么。但终归并不是什么值得骄傲的事情。 《深海浩劫》是那种秋季档最常见的真实历史事件改编电影——和《萨利机长》相同，题材保险精神积极向上，四平八稳没什么太大毛病，也没什么太大意思。但合理地说，这种不带有任何创作者主观态度的流水线主旋律电影的质量和市场表现才是更考验电影工业发达与否的硬性指标。《深海浩劫》能提供情感刺激，有到位的CGI水准，即便面临故事的可预见性和过度戏剧化，但也从来没有达到令人反感的地步。 诚然，《深海浩劫》将主观失职轻描淡写，重心挪在了人物求生上，但这种选择作为商业电影来说是没有什么问题的。只要能充分发挥视效的能力，能令观众关心大银幕上角色的安危，只要有着合格的表演和成熟的故事，这就是一部不错的电影。 即便可能是最套路的电影之一。 但套路本身是没有罪过的，有问题的从来都是使用套路的人罢了。 
      ",推荐,CydenyLau,有用 9,没用 6,https://movie.douban.com/review/8170276/,深海浩劫：大庇天下主旋律俱欢颜,https://www.douban.com/people/CydenyLau/
,推荐,误痴夏日,有用 3,没用 0,https://movie.douban.com/review/8185161/,第一次写影评,https://www.douban.com/people/53389321/
"
        
      ",还行,影君子和说书人,有用 129,没用 86,https://movie.douban.com/review/8173933/,《深海浩劫》到底死多少才能算作灾难片？,https://www.douban.com/people/rocchow/
"
        作为石油人福利，拿了电影票，一直没时间去看，后来的一天突然想起，查了下还没下架，于是小市民思想作祟，本着不能浪费的思想去看了夜场。开头是很温馨的一家三口，常年失眠的柒姐居然有了睡意，打开手机回了几条未读消息之后昏昏欲睡。画面中猪脚可爱的女儿用一罐可乐模拟着石油开采的过程，说实话当时心里是佩服的，作为一个在石油圈混了八年的人，从未想过石油和可乐可以如此相似。猪脚看着女儿，目光中是藏不住的爱意，如果时光就定格在那瞬间也是很美好的，然而，可乐突然喷涌而出，似乎在暗示着即将发生的一切。在准备登机的时候，猪脚遇到了两个同样要去往深海地平线的同事，深紫色的领带刺激了猪脚的神经，刨除拍电影要做好铺垫不说，有时候真的会有第六感存在。于是猪脚在闲聊了几句之后提醒同事摘掉领带，同事虽然不快也照做了，在生命安全面前，有些事总要宁可信其有。飞往平台的过程也不太顺利呢，途中一只鸟撞了直升机，柒姐的睡意也是在这里减轻了一下下。好在有惊无险，顺利抵达平台，接下来的一切似乎与平时没什么区别，石油工人们已经开始计划轮完这一班的假期要怎么过。然后情况有了变化，技术总监（原谅柒姐太困记不住具体名字了，就是那个很有石油精神也深受工人支持的大叔）开始责问为什么要赶走斯伦贝谢的固井人员，可能是太傲娇，可能是太自信，也可能是尽可能的压缩成本，总之就是没有固井，直接赶走了。这场灾难的大概也是就此开始。以技术总监为代表的工人们开始要求做负压测试，而本片中一个较为反面的人物（原谅我记不住名字，这里叫BP大叔把）是个诡辩的小老头，即使在众人的压力下坐了负压测试，而且测试结果显示有问题的情况下，BP大叔还是凭借自己的逻辑与口才，力排众议，下令钻进。听领导的话，有时候已经成为一种思维惯性，领导永远是对的，把领导交代的事做好没毛病，相信这场灾难之后，那些劫后余生的石油工人们会对“领导”一词有全新的理解。深海地平线上一切如往常一样，此时镜头切换到几千米以下的海底，由于井口压力难以平衡巨大的底层压力，大量原油喷涌而出，而平台上的人们仍存在着侥幸心理，他们更愿意相信负压测试的异常只是个bug。压力表指针开始抖动，有人说，这个压力可以把汽车切成两半了，而此时仍然没有采取任何措施。技术总监已经去洗澡准备休息，猪脚也开始和妻子视频，猪脚拿出那枚恐龙牙齿的时候似乎看到了女儿接过之后欣喜的样子。此时的井口，已经有少量原油渗漏出来，经验丰富的钻井小哥意识到情况不妙，用手沾了一些仔细辨别，然后，小哥的手开始颤抖了，以他多年经验来看，这绝对是个不祥之兆。还没来得及采取行动，油流喷涌而出，不知道是否能将汽车剪成两半，只是一瞬间巨大的油流喷涌，周围的工人都变成了泥人。来不及多想，钻井小哥飞快地拧上了阀门，一切重归于平静。而这只是个开始，几分钟之后，巨大的压力冲破了阀门，这次的喷涌更加猛烈。控制室里也发现了异常，美丽的女技术员试图与陆地取得联系（记忆比较模糊可能顺序错乱，大家见谅），可是很快被旁边的同事阻止，他们仍然相信这是一次可以解决的事故，毕竟，还要赶工期。一只被油流伤到的海鸟飞进房间，因为受了惊吓四处乱撞，最后终于落在地上奄奄一息。此时还有许多人并未发现灾难的到来，比如技术总监大叔，比如我们的猪脚。终于，猪脚的妻子发现了一样，提醒猪脚好像灯光闪了一下。此时的技术总监，还在洗澡。猪脚终于意识到问题的严重，决定迅速撤离保命，结果还没走出几步就被飞来的铁门砸晕了，技术大叔这边情况也不乐观，还没来得及穿上衣服就受了重伤。至此，柒姐的睡意走得干干净净，朋友发消息问在干嘛呢，我说看深海浩劫，他问感觉怎么样，只回了他四个字，我想改行，配一个大哭的表情。回到电影，此时已经有人员开始撤离，但是似乎电影中所有的灾难情节，都是救生船不够用，这场景简直是石油版的铁达尼号。猪脚醒过来，忍着剧痛把同事送到安全区之后，决定折返回去搭救技术总监，此时技术总监也醒了，因为没穿衣服所以伤得更重，画面太血腥没敢看。很快人员都相继撤离了，少数工人们不幸牺牲，此时的猪脚和美丽女技术员还困在平台上，救生船已经走远，似乎唯一走向生的路也被切断了。这时候猪脚提议跳下去，美丽女技术员当场拒绝，宁死不跳，柒姐想大多数女生都会是这个反应吧。此时猪脚跳下去还是有活下去的机会，但是带着光环的猪脚怎么能自己跑掉，于是猪脚开始对美女技术员做思想工作。当然，妹子不是随随便便几句话就能动摇的，猪脚最后很无奈的把妹子推了下去，紧跟着自己也跳了海。最后的结局，猪脚和妹子都获救了，虽然伤亡惨重，多数人还是捡回了性命。猪脚见到了妻子和女儿，一时百感交集，技术员妹子从此离开了石油圈。墨西哥湾因为此次事件造成了大量污染，无数生物因此死亡。随着时间推移，这一切终将回归平静，人们也继续开采着海洋油气资源，只是未来的路上，人们会引以为戒，怀着一份对自然、对未知事物的敬畏，去开采利用这来之不易的资源。至此，影片结束，深感石油人的不易，尤其是在油价低迷的今天，希望石油行业早日度过寒冬，迎接春天。
      ",推荐,美人兮见之不忘,有用 4,没用 1,https://movie.douban.com/review/8200279/,石油人看完会有种当头棒喝的感觉,https://www.douban.com/people/mrxjzbw/
