comment,comm_region,comm_time,video_img,video_info,comm_name,video_name,comm_favor
很讨厌邱莹莹。不自重，不自爱，也讨厌樊胜美喜欢靠男人，自家一堆难事。还给邱莹莹讲道理。没皮没脸，,中国:江苏:常州,Fri Jun 02 00:59:37 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/s/sqmkhre9cpq6t2y_y.jpg,更新至41集,傾栀,欢乐颂2,64
凭什么养你哥嫂啊，凭什么连累王百川父母啊，看看小美那副嘴脸。不但不理解还对王百川还阴阳怪气的。人家王百川也不该你的。跟这种人处对象真累，做什么都应该是的，看看小美说话那口气，总想着让人家王百川解决问题，为什么不考虑王百川的角度考虑，你爸妈是爸妈，人家爸妈不是爸妈啊。要不就别逃避，回去养你一家老小。,中国:山东:青岛,Thu Jun 01 13:23:19 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/s/sqmkhre9cpq6t2y_y.jpg,更新至41集,黑色曼陀罗,欢乐颂2,15
打的好，最不喜欢这种了，该好好爱的时候不爱，找了女朋友又来爱慕前女友，活该,中国:重庆:渝中,Fri Jun 02 01:32:18 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/s/sqmkhre9cpq6t2y_y.jpg,更新至41集,华儿,欢乐颂2,10
不要在捧乔欣了！很烦，喜欢是一个磁场，她即使在好就是喜欢不起来，小曲即使在坏，都喜欢她！,中国::,Fri Jun 02 11:00:21 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/s/sqmkhre9cpq6t2y_y.jpg,更新至41集,九月,欢乐颂2,23
喜欢小曲对朋友的仗义，对工作的努力，真性情，刀子嘴豆腐心，有时候都心疼她为什么去管别人又不领情，看她自己倒是看的开，别人的误解恶意揣测也不往心里去，一如既往地去关心帮助别人解决难题，她不喜欢文绉绉，不喜欢煽情一针见血，不懂委婉，不虚伪，所以才不招人待见，但理解她的人终究都喜欢她，宁愿交嘴贱心善的也不交虚伪的，真心希望自己有这么一个朋友，喜欢曲筱肖！,::,Fri Jun 02 11:33:45 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/s/sqmkhre9cpq6t2y_y.jpg,更新至41集,娟,欢乐颂2,208
"欢乐颂看到这里，总算明确了，关关也有虚荣心，关关暗恋赵医生 就像 范大姐喜欢收富家公子的高档礼品，就像邱莹莹喜欢伪装辛福，就像赵医生的小清高等等
只有安迪和曲筱绡两个极端人群是没有虚荣心的，因为她们不需要。
每个人都有虚荣心，只是需求不一样，表现的方式不一样罢了！",中国:宁夏:银川,Thu Jun 01 12:32:04 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/s/sqmkhre9cpq6t2y_y.jpg,更新至41集,开心走花路..............,欢乐颂2,168
他们几个女人的发型，衣着打扮真心让人感觉不舒服！,中国:广东:深圳,Thu Jun 01 23:07:44 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/s/sqmkhre9cpq6t2y_y.jpg,更新至41集,青叶,欢乐颂2,4
这种男人就算是和邱在一起&#039;以后遇到别的也会不要邱的&#039;邱太傻了,中国:北京:东城,Fri Jun 02 02:26:42 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/s/sqmkhre9cpq6t2y_y.jpg,更新至41集,弦上的舞说,欢乐颂2,8
公交卡,中国:海南:海口,Sat Jun 03 07:50:40 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/s/sqmkhre9cpq6t2y_y.jpg,更新至41集,逆时针=待,欢乐颂2,0
气死人了，看电视看一半就广告烦死了,中国:江苏:南通,Sat Jun 03 07:48:57 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/s/sqmkhre9cpq6t2y_y.jpg,更新至41集,青柠檬檬哒,欢乐颂2,1
,中国::,Sat Jun 03 07:46:33 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/s/sqmkhre9cpq6t2y_y.jpg,更新至41集,钊,欢乐颂2,0
大家谁知道第几集姐妹们赶走房东的,::,Sat Jun 03 07:46:13 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/s/sqmkhre9cpq6t2y_y.jpg,更新至41集,青笙,欢乐颂2,0
好看，美女好多,韩国:首尔:,Sat Jun 03 07:42:17 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/s/sqmkhre9cpq6t2y_y.jpg,更新至41集,◤城市↑空▁寂寞の歌◢,欢乐颂2,0
