IP,LAST_CHECK_TIME,SPEED,POSITION,TYPE,PORT
114.248.108.23,17-06-01 13:22,0.08秒,北京,HTTP,8118
58.34.237.139,17-06-01 13:22,0.128秒,上海,HTTP,9000
115.202.182.213,17-06-01 13:22,5.369秒,浙江台州,HTTPS,808
175.155.24.41,17-06-01 13:22,0.329秒,四川德阳,HTTP,808
115.203.83.145,17-06-01 13:22,1.911秒,浙江台州,HTTPS,808
220.160.10.187,17-06-01 13:22,1.609秒,福建福州,HTTPS,808
115.202.164.254,17-06-01 13:22,1.562秒,浙江台州,HTTPS,808
220.160.10.100,17-06-01 13:22,3.311秒,福建福州,HTTPS,808
115.202.172.53,17-06-01 13:22,0.721秒,浙江台州,HTTPS,808
113.123.127.225,17-06-01 13:22,2.026秒,山东滨州,HTTP,808
211.149.162.144,17-06-01 13:21,0.925秒,吉林通化,HTTP,808
139.224.237.33,17-06-01 13:21,0.106秒,,HTTP,8888
218.18.232.29,17-06-01 13:21,0.305秒,广东深圳,HTTP,8080
220.166.96.90,17-06-01 13:21,0.591秒,四川泸州,HTTP,82
183.153.48.42,17-06-01 13:21,0.214秒,浙江台州,HTTPS,808
119.115.233.78,17-06-01 13:20,0.146秒,辽宁,HTTP,80
42.233.238.117,17-06-01 13:20,0.124秒,河南,HTTP,8118
60.167.22.255,17-06-01 13:15,5.317秒,安徽芜湖,HTTP,808
119.5.0.23,17-06-01 13:14,0.24秒,四川南充,HTTP,808
115.220.147.122,17-06-01 13:13,2.073秒,浙江宁波,HTTPS,808
222.94.111.128,17-06-01 13:11,0.204秒,江苏南京,HTTPS,8118
171.38.161.120,17-06-01 13:11,2.09秒,广西钦州,HTTPS,8123
116.226.90.12,17-06-01 13:11,0.132秒,上海,HTTP,808
113.71.112.187,17-06-01 13:11,0.57秒,广东佛山,HTTPS,808
115.202.165.183,17-06-01 13:11,0.895秒,浙江台州,HTTPS,808
115.220.146.52,17-06-01 13:11,0.189秒,浙江宁波,HTTPS,808
183.153.37.200,17-06-01 13:11,0.244秒,浙江台州,HTTPS,808
119.5.1.40,17-06-01 13:11,3.969秒,四川南充,HTTP,808
101.206.131.13,17-06-01 13:11,0.403秒,四川,HTTPS,808
183.153.14.145,17-06-01 13:11,0.227秒,浙江台州,HTTPS,808
119.5.0.38,17-06-01 13:11,0.257秒,四川南充,HTTP,808
220.166.242.94,17-06-01 13:10,0.544秒,四川成都,HTTPS,8118
119.5.37.210,17-06-01 13:04,1.337秒,四川达州,HTTP,808
115.202.175.71,17-06-01 13:00,1.57秒,浙江台州,HTTP,808
218.61.208.95,17-06-01 13:00,0.189秒,辽宁大连,HTTPS,808
220.160.10.86,17-06-01 13:00,0.317秒,福建福州,HTTPS,808
119.5.0.85,17-06-01 13:00,0.262秒,四川南充,HTTP,808
123.179.128.151,17-06-01 13:00,0.086秒,内蒙古赤峰,HTTPS,8080
115.213.176.116,17-06-01 13:00,3.984秒,浙江丽水,HTTPS,808
123.163.163.138,17-06-01 13:00,0.337秒,河南三门峡,HTTP,808
120.83.121.131,17-06-01 12:55,0.259秒,广东揭阳,HTTPS,808
123.170.255.108,17-06-01 12:55,0.176秒,山东滨州,HTTPS,808
114.239.149.97,17-06-01 12:55,7.894秒,江苏宿迁市泗阳县,HTTP,808
36.62.117.55,17-06-01 12:52,0.224秒,安徽,HTTP,8118
125.81.110.62,17-06-01 12:51,0.666秒,重庆,HTTP,8123
183.153.12.175,17-06-01 12:51,7.191秒,浙江台州,HTTP,808
175.155.24.119,17-06-01 12:50,0.315秒,四川德阳,HTTP,808
114.103.221.107,17-06-01 12:45,0.257秒,安徽宣城,HTTPS,808
60.176.203.58,17-06-01 12:45,0.303秒,浙江杭州,HTTP,808
115.220.3.80,17-06-01 12:45,4.186秒,浙江宁波,HTTP,808
110.73.4.72,17-06-01 12:44,0.985秒,广西防城港,HTTP,8123
121.226.155.207,17-06-01 12:43,3.071秒,江苏盐城,HTTPS,808
115.213.203.209,17-06-01 12:43,6.758秒,浙江丽水,HTTP,808
119.5.0.9,17-06-01 12:40,0.231秒,四川南充,HTTP,808
119.5.0.35,17-06-01 12:40,0.252秒,四川南充,HTTP,808
180.175.17.98,17-06-01 12:34,0.141秒,上海,HTTP,63000
115.203.82.207,17-06-01 12:33,7.061秒,浙江台州,HTTPS,808
221.229.45.54,17-06-01 12:33,1.95秒,江苏扬州,HTTPS,808
115.220.5.120,17-06-01 12:33,0.258秒,浙江宁波,HTTPS,808
183.153.39.236,17-06-01 12:33,0.822秒,浙江台州,HTTPS,808
58.253.70.149,17-06-01 12:31,0.383秒,广东茂名,HTTP,8080
114.239.2.72,17-06-01 12:31,0.225秒,江苏宿迁,HTTP,808
119.5.1.55,17-06-01 12:30,0.85秒,四川南充,HTTP,808
123.55.179.97,17-06-01 12:30,4.669秒,河南三门峡,HTTP,808
114.230.232.173,17-06-01 12:30,1.228秒,江苏扬州,HTTP,47346
119.5.0.122,17-06-01 12:22,0.243秒,四川南充,HTTP,808
110.72.150.117,17-06-01 12:22,3.103秒,广西防城港,HTTPS,8123
115.203.93.74,17-06-01 12:22,0.39秒,浙江台州,HTTPS,808
171.13.36.74,17-06-01 12:22,0.451秒,河南,HTTPS,808
122.245.65.82,17-06-01 12:22,1.02秒,浙江宁波,HTTPS,808
119.5.175.11,17-06-01 12:22,3.612秒,四川,HTTPS,808
182.35.220.179,17-06-01 12:16,1.359秒,山东德州,HTTPS,808
175.155.24.57,17-06-01 12:16,1.016秒,四川德阳,HTTP,808
175.155.247.174,17-06-01 12:16,1.718秒,四川德阳,HTTP,808
222.85.39.147,17-06-01 12:15,0.198秒,河南平顶山,HTTPS,808
222.95.18.16,17-06-01 12:15,7.069秒,江苏南京,HTTP,808
123.162.80.56,17-06-01 12:15,2.103秒,河南焦作,HTTP,808
60.167.21.53,17-06-01 12:12,5.521秒,安徽芜湖,HTTPS,808
115.215.208.147,17-06-01 12:11,0.319秒,浙江宁波,HTTP,8118
221.230.72.182,17-06-01 12:01,3.13秒,江苏镇江,HTTP,80
175.155.241.85,17-06-01 12:01,2.214秒,四川德阳,HTTPS,808
183.153.47.1,17-06-01 12:00,1.082秒,浙江台州,HTTP,808
49.86.62.150,17-06-01 11:55,0.36秒,江苏扬州,HTTPS,808
123.55.189.41,17-06-01 11:50,0.212秒,河南三门峡,HTTPS,808
112.115.81.155,17-06-01 11:50,0.385秒,云南昆明,HTTP,808
113.58.235.139,17-06-01 11:45,7.006秒,海南海口,HTTPS,808
119.5.1.108,17-06-01 11:44,0.686秒,四川南充,HTTPS,808
60.205.95.162,17-06-01 11:43,1.694秒,广东深圳,HTTPS,808
140.224.76.104,17-06-01 11:41,1.255秒,,HTTPS,808
222.95.21.105,17-06-01 11:40,0.168秒,江苏南京,HTTPS,808
220.160.10.222,17-06-01 11:40,0.267秒,福建福州,HTTPS,808
60.184.207.95,17-06-01 11:40,0.189秒,浙江丽水,HTTP,808
121.226.172.91,17-06-01 11:40,0.882秒,江苏,HTTPS,808
183.49.85.121,17-06-01 11:38,0.194秒,广东深圳,HTTPS,8118
113.123.53.169,17-06-01 11:36,0.504秒,山东威海,HTTPS,808
