courseName,img_url,courseInfo
深度学习班 第三期,https://www.julyedu.com/Public/Image/7248ecfba0.png,开班时间：6.17日开课，即将开放报名
机器学习集训营 [3个月挑战起薪30万，非VIP课],https://www.julyedu.com/Public/Image/4495411cbd.png,开班时间：6月26日开课，平时2次在线课，周末一次线下课
概率论与数理统计,https://www.julyedu.com/Public/Image/3feb168372.png,开班时间：直播已结束，现在购买看视频
Python数据分析班 升级版,https://www.julyedu.com/Public/Image/957dad4112.png,开班时间：直播已结束，现在购买看视频
机器学习算法班 第八期 [报名后转发即送Python],https://www.julyedu.com/Public/Image/9c618766e8.png,开班时间：5.6日开课，每周六周日晚上8-10点上课
BAT求职集训营 [两天线下强化 + 赠送在线视频，非VIP课程],https://www.julyedu.com/Public/Image/88e7b2f066.png,开班时间：4.2、4.3日，北京七月在线总部
矩阵与凸优化班,https://www.julyedu.com/Public/Image/427e9ba0af.png,开班时间：6次直播课已上完，现在购买看视频
3月面试求职班 [第4期解答作业，VIP课程之一],https://www.julyedu.com/Public/Image/a12bca621c.jpg,开班时间：10次直播课已上完，现在购买看视频
PHP与后端架构实战班,https://www.julyedu.com/Public/Image/009fbe5fc3.png,开班时间：2017年3/4月，具体待定
自动聊天机器人项目班,https://www.julyedu.com/Public/Image/9c8cd03c8f.jpg,开班时间：直播已结束，现在购买看视频
图搜索实战班,https://www.julyedu.com/Public/Image/46ee58e50b.jpg,开班时间：直播已结束，现在购买看视频
leetcode直播刷题班,https://www.julyedu.com/Public/Image/fa67c26d49.jpg,开班时间：直播已经结束，现在报名看视频
树实战coding直播班,https://www.julyedu.com/Public/Image/8d51222ada.jpg,开班时间：9.22日晚上8点第一课，9月23日晚上8点第二课
"Python基础入门班 [近千人,学Python的第1个课]",https://www.julyedu.com/Public/Image/473cc5f678.jpg,开班时间：8次直播课已上完，现在购买看视频
NLP到Word2vec实战班,https://www.julyedu.com/Public/Image/20a86c1353.jpg,开班时间：4次直播课已上完，现在购买看视频
kaggle案例实战班 [数据科学家的首选课程],https://www.julyedu.com/Public/Image/5c76847fec.jpg,开班时间：8次直播课已上完，现在报名看视频
动态规划实战班 [超1000人报名，目前仅需1元 ],https://www.julyedu.com/Public/Image/61024f2d30.jpg,开班时间：2次直播课已上完，现在购买看视频
