[DEBUG | 2017-11-30 12:38:02,978] vote to all
[DEBUG | 2017-11-30 12:38:10,706] vote to all
[DEBUG | 2017-11-30 12:46:46,851] vote to all
[DEBUG | 2017-11-30 12:46:48,864] vote to all
[DEBUG | 2017-11-30 12:46:50,872] vote to all
[DEBUG | 2017-11-30 12:46:52,876] vote to all
[DEBUG | 2017-11-30 12:46:54,881] vote to all
[DEBUG | 2017-11-30 12:46:54,975] vote to all
[DEBUG | 2017-11-30 12:46:56,886] vote to all
[DEBUG | 2017-11-30 12:46:56,980] vote to all
[DEBUG | 2017-11-30 12:46:58,890] vote to all
[DEBUG | 2017-11-30 12:46:58,985] vote to all
[DEBUG | 2017-11-30 12:47:00,894] vote to all
[DEBUG | 2017-11-30 12:47:00,989] vote to all
[DEBUG | 2017-11-30 12:47:02,898] vote to all
[DEBUG | 2017-11-30 12:47:02,994] vote to all
[DEBUG | 2017-11-30 12:47:04,903] vote to all
[DEBUG | 2017-11-30 12:47:04,998] vote to all
[DEBUG | 2017-11-30 12:47:06,907] vote to all
[DEBUG | 2017-11-30 12:47:07,002] vote to all
[DEBUG | 2017-11-30 12:47:08,911] vote to all
[DEBUG | 2017-11-30 12:47:09,006] vote to all
[DEBUG | 2017-11-30 12:47:10,915] vote to all
[DEBUG | 2017-11-30 12:47:11,010] vote to all
[DEBUG | 2017-11-30 12:47:12,918] vote to all
[DEBUG | 2017-11-30 12:47:13,014] vote to all
[DEBUG | 2017-11-30 12:47:14,922] vote to all
[DEBUG | 2017-11-30 12:47:15,018] vote to all
[DEBUG | 2017-11-30 12:47:16,925] vote to all
[DEBUG | 2017-11-30 12:47:17,022] vote to all
[DEBUG | 2017-11-30 12:47:18,951] vote to all
[DEBUG | 2017-11-30 12:47:19,025] vote to all
[DEBUG | 2017-11-30 12:47:20,965] vote to all
[DEBUG | 2017-11-30 12:47:21,028] vote to all
[DEBUG | 2017-11-30 12:47:22,970] vote to all
[DEBUG | 2017-11-30 12:47:23,032] vote to all
[DEBUG | 2017-11-30 12:47:31,975] vote to all
[DEBUG | 2017-11-30 12:47:32,084] vote to all
[DEBUG | 2017-11-30 12:47:31,976] vote to all
[DEBUG | 2017-11-30 12:47:34,022] vote to all
[DEBUG | 2017-11-30 12:47:34,094] vote to all
[DEBUG | 2017-11-30 12:47:34,276] vote to all
[DEBUG | 2017-11-30 12:47:36,026] vote to all
[DEBUG | 2017-11-30 12:47:36,099] vote to all
[DEBUG | 2017-11-30 12:47:36,311] vote to all
[DEBUG | 2017-11-30 12:47:38,030] vote to all
[DEBUG | 2017-11-30 12:47:38,101] vote to all
[DEBUG | 2017-11-30 12:47:38,316] vote to all
[DEBUG | 2017-11-30 12:47:40,033] vote to all
[DEBUG | 2017-11-30 12:47:40,104] vote to all
[DEBUG | 2017-11-30 12:47:40,329] vote to all
[DEBUG | 2017-11-30 12:47:42,037] vote to all
[DEBUG | 2017-11-30 12:47:42,108] vote to all
[DEBUG | 2017-11-30 12:47:42,333] vote to all
[DEBUG | 2017-11-30 12:47:44,040] vote to all
[DEBUG | 2017-11-30 12:47:44,111] vote to all
[DEBUG | 2017-11-30 12:47:44,337] vote to all
[DEBUG | 2017-11-30 12:47:46,044] vote to all
