[INFO | 2017-11-30 12:44:42,498] kill all the clild now
[INFO | 2017-11-30 12:44:42,514] child close 0
[INFO | 2017-11-30 12:44:45,441] kill all the clild now
[INFO | 2017-11-30 12:44:45,456] child close 0
[INFO | 2017-11-30 12:47:46,611] kill all the clild now
[INFO | 2017-11-30 12:47:46,653] child close 0
[INFO | 2017-11-30 12:47:47,202] kill all the clild now
[INFO | 2017-11-30 12:47:47,216] child close 0
[INFO | 2017-11-30 12:47:47,883] kill all the clild now
[INFO | 2017-11-30 12:47:47,911] child close 0
[INFO | 2017-11-30 12:55:19,004] kill all the clild now
[INFO | 2017-11-30 12:55:19,048] child close 0
[INFO | 2017-11-30 12:55:29,024] kill all the clild now
[INFO | 2017-11-30 12:55:29,047] child close 0
[INFO | 2017-11-30 12:55:30,176] kill all the clild now
[INFO | 2017-11-30 12:55:30,210] child close 0
[INFO | 2017-11-30 12:57:35,052] kill all the clild now
[INFO | 2017-11-30 12:57:35,115] child close 0
[INFO | 2017-11-30 12:57:35,932] kill all the clild now
[INFO | 2017-11-30 12:57:35,978] child close 0
[INFO | 2017-11-30 12:57:36,720] kill all the clild now
[INFO | 2017-11-30 12:57:36,733] child close 0
[INFO | 2017-11-30 12:59:53,226] kill all the clild now
[INFO | 2017-11-30 12:59:53,256] child close 0
[INFO | 2017-11-30 12:59:56,554] kill all the clild now
[INFO | 2017-11-30 12:59:56,587] child close 0
[INFO | 2017-11-30 13:02:38,644] kill all the clild now
[INFO | 2017-11-30 13:02:38,677] child close 0
[INFO | 2017-11-30 13:04:56,127] kill all the clild now
[INFO | 2017-11-30 13:04:56,169] child close 0
[INFO | 2017-11-30 13:05:54,405] kill all the clild now
[INFO | 2017-11-30 13:05:54,442] child close 0
[INFO | 2017-11-30 13:08:22,091] kill all the clild now
[INFO | 2017-11-30 13:08:22,122] child close 0
[INFO | 2017-11-30 13:14:41,435] 发送失败
[INFO | 2017-11-30 13:20:17,893] 发送失败
[INFO | 2017-11-30 13:35:36,182] 发送失败
[INFO | 2017-11-30 13:35:36,184] 发送失败
[INFO | 2017-11-30 13:35:36,189] kill all the clild now
[INFO | 2017-11-30 13:35:36,225] 发送失败
[INFO | 2017-11-30 13:35:36,226] 发送失败
[INFO | 2017-11-30 13:35:36,233] child close 0
