[WARNING | 2017-11-30 12:57:14,511] connect:localhost:888error
[WARNING | 2017-11-30 12:57:14,518] connect:localhost:888error
[WARNING | 2017-11-30 12:57:14,521] connect:localhost:889error
[WARNING | 2017-11-30 12:57:16,787] connect:localhost:888error
[WARNING | 2017-11-30 12:57:16,793] connect:localhost:888error
[WARNING | 2017-11-30 12:57:16,797] connect:localhost:889error
[WARNING | 2017-11-30 12:57:31,587] connect:localhost:888error
[WARNING | 2017-11-30 12:57:31,588] connect:localhost:888error
[WARNING | 2017-11-30 12:57:31,591] connect:localhost:889error
[WARNING | 2017-11-30 12:59:41,208] connect:localhost:888error
[WARNING | 2017-11-30 12:59:41,210] connect:localhost:888error
[WARNING | 2017-11-30 12:59:41,214] connect:localhost:889error
[WARNING | 2017-11-30 12:59:48,328] connect:localhost:888error
[WARNING | 2017-11-30 12:59:48,331] connect:localhost:888error
[WARNING | 2017-11-30 12:59:48,337] connect:localhost:889error
[WARNING | 2017-11-30 13:02:32,430] connect:localhost:888 Error
[WARNING | 2017-11-30 13:02:32,432] connect:localhost:888 Error
[WARNING | 2017-11-30 13:02:32,434] connect:localhost:889 Error
[WARNING | 2017-11-30 13:04:47,452] connect:127.0.0.1:888 Error
[WARNING | 2017-11-30 13:04:47,454] connect:127.0.0.1:888 Error
[WARNING | 2017-11-30 13:04:47,456] connect:127.0.0.1:889 Error
[WARNING | 2017-11-30 13:05:47,455] connect:127.0.0.1:888 Error
[WARNING | 2017-11-30 13:05:47,456] connect:127.0.0.1:888 Error
[WARNING | 2017-11-30 13:05:47,458] connect:127.0.0.1:889 Error
[WARNING | 2017-11-30 13:08:17,367] connect:127.0.0.1:8888 Error
[WARNING | 2017-11-30 13:08:17,369] connect:127.0.0.1:8889 Error
[WARNING | 2017-11-30 13:08:17,372] connect:127.0.0.1:8890 Error
[WARNING | 2017-11-30 13:14:41,432] connect:127.0.0.1:8889 Error
[WARNING | 2017-11-30 13:14:41,434] connect:127.0.0.1:8890 Error
[WARNING | 2017-11-30 13:20:17,890] connect:127.0.0.1:8889 Error
[WARNING | 2017-11-30 13:20:17,891] connect:127.0.0.1:8890 Error
[WARNING | 2017-11-30 13:35:16,263] connect:127.0.0.1:9001 Error
[WARNING | 2017-11-30 13:35:16,265] connect:127.0.0.1:9002 Error
[WARNING | 2017-11-30 13:35:22,384] connect:127.0.0.1:9002 Error
